	cluster	Project
TCGA-06-5413-01A	B	TCGA
TCGA-32-1982-01A	B	TCGA
TCGA-28-2509-01A	B	TCGA
TCGA-06-0158-01A	B	TCGA
TCGA-14-0789-01A	B	TCGA
TCGA-06-5418-01A	B	TCGA
TCGA-28-5215-01A	B	TCGA
TCGA-19-2620-01A	B	TCGA
TCGA-32-2616-01A	B	TCGA
TCGA-06-0211-01A	B	TCGA
TCGA-32-2632-01A	B	TCGA
TCGA-06-0156-01A	B	TCGA
TCGA-02-2486-01A	B	TCGA
TCGA-06-2564-01A	B	TCGA
TCGA-06-0141-01A	B	TCGA
TCGA-76-4927-01A	B	TCGA
TCGA-41-2572-01A	B	TCGA
TCGA-27-2519-01A	B	TCGA
TCGA-06-5410-01A	B	TCGA
TCGA-32-2638-01A	B	TCGA
TCGA-14-0787-01A	B	TCGA
TCGA-06-0644-01A	B	TCGA
TCGA-19-2625-01A	B	TCGA
TCGA-26-5132-01A	B	TCGA
TCGA-06-0168-01A	B	TCGA
TCGA-06-5412-01A	B	TCGA
TCGA-06-0139-01A	B	TCGA
TCGA-06-2559-01A	B	TCGA
TCGA-12-3653-01A	B	TCGA
TCGA-32-2615-01A	B	TCGA
TCGA-32-5222-01A	B	TCGA
TCGA-06-5859-01A	B	TCGA
TCGA-06-0743-01A	B	TCGA
TCGA-14-1823-01A	B	TCGA
TCGA-02-0055-01A	B	TCGA
TCGA-76-4925-01A	B	TCGA
TCGA-12-0616-01A	B	TCGA
TCGA-27-2524-01A	B	TCGA
TCGA-14-1829-01A	B	TCGA
TCGA-76-4932-01A	B	TCGA
TCGA-06-0190-01A	B	TCGA
TCGA-06-0645-01A	B	TCGA
TCGA-12-0619-01A	B	TCGA
TCGA-06-2569-01A	B	TCGA
TCGA-41-4097-01A	B	TCGA
TCGA-28-5220-01A	B	TCGA
TCGA-06-2562-01A	B	TCGA
TCGA-28-5216-01A	B	TCGA
TCGA-12-5299-01A	B	TCGA
