	prediction	d.CS1	d.CS2	p.value	FDR
TCGA-VV-A829-01A	CS2	0.7116	0.7026	0.9021	0.9232
TCGA-HT-7874-01A	CS1	0.3162	0.9487	0.001	0.0014
TCGA-CS-6290-01A	CS2	0.8867	0.4624	0.001	0.0014
TCGA-DU-A7TC-01A	CS1	0.2795	0.9601	0.001	0.0014
TCGA-DB-A4XE-01A	CS1	0.3695	0.9292	0.001	0.0014
TCGA-WY-A85D-01A	CS2	0.794	0.6079	0.001	0.0014
TCGA-HT-8018-01A	CS1	0.6804	0.7328	0.2108	0.2375
TCGA-FG-A4MT-01A	CS1	0.5742	0.8187	0.001	0.0014
TCGA-FG-A4MT-02A	CS1	0.3226	0.9465	0.001	0.0014
TCGA-S9-A6WH-01A	CS1	0.3608	0.9327	0.001	0.0014
TCGA-DU-A7TI-01A	CS1	0.6368	0.771	0.035	0.0435
TCGA-HT-7856-01A	CS1	0.3092	0.951	0.001	0.0014
TCGA-VM-A8CE-01A	CS1	0.5697	0.8219	0.001	0.0014
TCGA-EZ-7264-01A	CS1	0.3635	0.9316	0.001	0.0014
TCGA-HT-7854-01A	CS2	0.8645	0.5026	0.001	0.0014
TCGA-HW-8319-01A	CS1	0.3664	0.9305	0.001	0.0014
TCGA-DB-A4XD-01A	CS1	0.6409	0.7676	0.042	0.0516
TCGA-WY-A859-01A	CS1	0.2781	0.9606	0.001	0.0014
TCGA-HW-8320-01A	CS1	0.6636	0.7481	0.2078	0.2352
TCGA-FG-7637-01A	CS1	0.6178	0.7864	0.014	0.0181
TCGA-HT-7470-01A	CS1	0.3424	0.9396	0.001	0.0014
TCGA-CS-5393-01A	CS1	0.4138	0.9104	0.001	0.0014
TCGA-HT-7479-01A	CS2	0.8009	0.5988	0.003	0.0041
TCGA-TQ-A7RJ-01A	CS1	0.6247	0.7809	0.029	0.0366
TCGA-TM-A84G-01A	CS1	0.3838	0.9234	0.001	0.0014
TCGA-TM-A84L-01A	CS2	0.7772	0.6292	0.036	0.0447
TCGA-S9-A6TX-01A	CS1	0.4947	0.8691	0.001	0.0014
TCGA-S9-A6TW-01A	CS1	0.6834	0.7301	0.5115	0.547
TCGA-E1-5304-01A	CS1	0.6951	0.7189	0.6484	0.6808
TCGA-FG-6691-01A	CS2	0.7931	0.6091	0.01	0.0131
TCGA-HW-7489-01A	CS1	0.3273	0.9449	0.001	0.0014
TCGA-DU-7306-01A	CS2	0.8602	0.51	0.001	0.0014
TCGA-DH-A66B-01A	CS2	0.9163	0.4005	0.001	0.0014
TCGA-HW-8321-01A	CS1	0.6593	0.7519	0.1798	0.2048
TCGA-FG-6690-01A	CS1	0.6454	0.7639	0.0779	0.0926
TCGA-HT-7686-01A	CS2	0.9285	0.3714	0.001	0.0014
TCGA-IK-8125-01A	CS1	0.2515	0.9679	0.001	0.0014
TCGA-VM-A8C9-01A	CS2	0.9422	0.335	0.001	0.0014
TCGA-WY-A85A-01A	CS1	0.4169	0.909	0.001	0.0014
TCGA-CS-4942-01A	CS1	0.679	0.7341	0.4266	0.4618
TCGA-WY-A858-01A	CS2	0.8978	0.4405	0.001	0.0014
TCGA-DU-7299-01A	CS1	0.4843	0.8749	0.001	0.0014
TCGA-TQ-A7RK-01A	CS2	0.7119	0.7023	0.8701	0.894
TCGA-TQ-A7RK-02B	CS2	0.7374	0.6755	0.3556	0.3899
TCGA-TQ-A7RK-02A	CS2	0.736	0.6769	0.3816	0.4166
TCGA-DU-A7TG-01A	CS1	0.4446	0.8958	0.001	0.0014
TCGA-DB-5279-01A	CS1	0.458	0.8889	0.001	0.0014
TCGA-HT-7681-01A	CS1	0.3866	0.9222	0.001	0.0014
TCGA-HW-7487-01A	CS1	0.2265	0.974	0.001	0.0014
TCGA-HW-7490-01A	CS2	0.8392	0.5439	0.001	0.0014
TCGA-WY-A85B-01A	CS2	0.7873	0.6166	0.013	0.0168
TCGA-VM-A8C8-01A	CS1	0.6924	0.7215	0.6643	0.6948
TCGA-HT-7609-01A	CS2	0.7302	0.6833	0.4685	0.5052
TCGA-DH-5143-01A	CS1	0.4843	0.8749	0.001	0.0014
TCGA-DU-6397-02A	CS1	0.6469	0.7626	0.0909	0.1068
TCGA-DU-6397-01A	CS1	0.4982	0.8671	0.001	0.0014
TCGA-DB-A4X9-01A	CS1	0.4661	0.8847	0.001	0.0014
TCGA-DB-A4XC-01A	CS1	0.5251	0.8511	0.001	0.0014
TCGA-CS-6670-01A	CS1	0.3168	0.9485	0.001	0.0014
TCGA-WY-A85C-01A	CS2	0.7258	0.6879	0.5774	0.6125
TCGA-CS-6666-01A	CS2	0.8776	0.4794	0.001	0.0014
TCGA-FG-5962-01B	CS1	0.3156	0.9489	0.001	0.0014
TCGA-DB-5275-01A	CS1	0.6078	0.7941	0.01	0.0131
TCGA-CS-6667-01A	CS2	0.7427	0.6696	0.2368	0.2651
TCGA-TM-A7C4-01A	CS1	0.2762	0.9611	0.001	0.0014
TCGA-FG-A711-01A	CS1	0.3751	0.927	0.001	0.0014
TCGA-DU-6395-01A	CS1	0.6913	0.7225	0.6623	0.6941
TCGA-CS-6669-01A	CS1	0.317	0.9484	0.001	0.0014
TCGA-TM-A7C5-01A	CS1	0.3842	0.9233	0.001	0.0014
TCGA-CS-6668-01A	CS1	0.3292	0.9443	0.001	0.0014
TCGA-E1-5302-01A	CS2	0.8506	0.5259	0.001	0.0014
TCGA-HT-7858-01A	CS2	0.7928	0.6095	0.014	0.0181
TCGA-DB-5277-01A	CS1	0.618	0.7862	0.019	0.0243
TCGA-W9-A837-01A	CS1	0.2162	0.9764	0.001	0.0014
TCGA-DU-A7TB-01A	CS1	0.6228	0.7824	0.01	0.0131
TCGA-E1-A7YQ-01A	CS2	0.9698	0.244	0.001	0.0014
TCGA-DU-6393-01A	CS1	0.4265	0.9045	0.001	0.0014
TCGA-FG-5964-01A	CS1	0.5056	0.8628	0.001	0.0014
TCGA-CS-5396-01A	CS2	0.7123	0.7019	0.8961	0.9189
TCGA-DH-A7UR-01A	CS1	0.5052	0.863	0.001	0.0014
TCGA-TM-A7C3-01A	CS2	0.9031	0.4294	0.001	0.0014
TCGA-HT-7610-01A	CS1	0.2339	0.9723	0.001	0.0014
TCGA-HW-7486-01A	CS1	0.4975	0.8675	0.001	0.0014
TCGA-HT-7611-01A	CS2	0.8706	0.492	0.001	0.0014
TCGA-E1-5307-01A	CS1	0.3412	0.94	0.001	0.0014
TCGA-TM-A84F-01A	CS2	0.8585	0.5129	0.001	0.0014
TCGA-R8-A73M-01A	CS1	0.3214	0.9469	0.001	0.0014
TCGA-CS-4944-01A	CS2	0.8256	0.5643	0.001	0.0014
TCGA-DU-7302-01A	CS1	0.2641	0.9645	0.001	0.0014
TCGA-TQ-A7RV-02A	CS1	0.644	0.765	0.0709	0.0849
TCGA-TQ-A7RV-01A	CS1	0.353	0.9356	0.001	0.0014
TCGA-DU-7300-01A	CS1	0.4528	0.8916	0.001	0.0014
TCGA-S9-A6TS-01A	CS1	0.5902	0.8073	0.002	0.0027
TCGA-DU-7007-01A	CS2	0.9603	0.2791	0.001	0.0014
TCGA-HT-8013-01A	CS2	0.8669	0.4984	0.001	0.0014
TCGA-DH-5142-01A	CS2	0.923	0.3848	0.001	0.0014
TCGA-TM-A7CF-01A	CS1	0.2151	0.9766	0.001	0.0014
TCGA-TM-A7CF-02A	CS1	0.5258	0.8506	0.001	0.0014
TCGA-DU-6399-01A	CS2	0.7177	0.6964	0.7522	0.7806
TCGA-E1-5303-01A	CS2	0.8745	0.4851	0.001	0.0014
TCGA-HW-7491-01A	CS1	0.3687	0.9295	0.001	0.0014
TCGA-HW-7493-01A	CS1	0.6375	0.7705	0.033	0.0412
TCGA-DB-A4XG-01A	CS1	0.3068	0.9518	0.001	0.0014
TCGA-E1-A7Z3-01A	CS1	0.519	0.8548	0.001	0.0014
TCGA-E1-A7YO-01A	CS1	0.3458	0.9383	0.001	0.0014
TCGA-DU-6396-01A	CS2	0.9155	0.4024	0.001	0.0014
TCGA-HT-7480-01A	CS1	0.2243	0.9745	0.001	0.0014
TCGA-S9-A6WD-01A	CS1	0.3829	0.9238	0.001	0.0014
TCGA-DB-5274-01A	CS1	0.7051	0.7091	0.954	0.9632
TCGA-E1-5318-01A	CS1	0.6237	0.7817	0.026	0.0329
TCGA-DB-5281-01A	CS1	0.6008	0.7994	0.002	0.0027
TCGA-E1-5305-01A	CS1	0.5482	0.8363	0.001	0.0014
TCGA-DB-5273-01A	CS2	0.9201	0.3916	0.001	0.0014
TCGA-DU-A7TA-01A	CS2	0.8502	0.5264	0.001	0.0014
TCGA-S9-A6WI-01A	CS1	0.3209	0.9471	0.001	0.0014
TCGA-S9-A6WG-01A	CS2	0.9042	0.4271	0.001	0.0014
TCGA-S9-A6TU-01A	CS2	0.7858	0.6185	0.013	0.0168
TCGA-DU-6401-01A	CS2	0.8225	0.5688	0.001	0.0014
TCGA-R8-A6MK-01A	CS1	0.4888	0.8724	0.001	0.0014
TCGA-DU-7015-01A	CS2	0.7516	0.6596	0.2008	0.2277
TCGA-DB-5278-01A	CS1	0.2549	0.967	0.001	0.0014
TCGA-E1-A7YH-01A	CS2	0.7923	0.6101	0.007	0.0093
TCGA-R8-A6ML-01A	CS1	0.5007	0.8656	0.001	0.0014
TCGA-DU-7294-01A	CS1	0.3325	0.9431	0.001	0.0014
TCGA-DU-6407-01A	CS2	0.7325	0.6807	0.3836	0.417
TCGA-DU-6407-02B	CS2	0.9295	0.3689	0.001	0.0014
TCGA-DU-6407-02A	CS2	0.8598	0.5106	0.001	0.0014
TCGA-DU-A6S6-01A	CS1	0.2714	0.9625	0.001	0.0014
TCGA-E1-5319-01A	CS1	0.5826	0.8128	0.001	0.0014
TCGA-HT-7481-01A	CS1	0.2744	0.9616	0.001	0.0014
TCGA-S9-A6U9-01A	CS2	0.9188	0.3947	0.001	0.0014
TCGA-S9-A6U8-01A	CS1	0.6516	0.7586	0.1129	0.1306
TCGA-S9-A7R7-01A	CS2	0.975	0.2221	0.001	0.0014
TCGA-S9-A7R3-01A	CS2	0.7973	0.6036	0.001	0.0014
TCGA-DU-7011-01A	CS2	0.7763	0.6303	0.016	0.0206
TCGA-HT-7482-01A	CS2	0.844	0.5364	0.001	0.0014
TCGA-DU-6408-01A	CS1	0.5646	0.8253	0.001	0.0014
TCGA-DU-7014-01A	CS2	0.7554	0.6552	0.1459	0.1672
TCGA-CS-4938-01B	CS2	0.7639	0.6453	0.0659	0.0792
TCGA-HT-7604-01A	CS1	0.6693	0.743	0.2737	0.3032
TCGA-DB-5270-01A	CS1	0.4892	0.8722	0.001	0.0014
TCGA-S9-A6UB-01A	CS1	0.3574	0.934	0.001	0.0014
TCGA-E1-5322-01A	CS2	0.7354	0.6776	0.4236	0.4595
TCGA-DU-6404-02A	CS2	0.867	0.4984	0.001	0.0014
TCGA-DU-6404-01A	CS2	0.8315	0.5556	0.001	0.0014
TCGA-DU-6404-02B	CS2	0.8382	0.5454	0.001	0.0014
TCGA-E1-5311-01A	CS1	0.2984	0.9544	0.001	0.0014
TCGA-S9-A6WE-01A	CS1	0.3783	0.9257	0.001	0.0014
TCGA-DU-A7T8-01A	CS2	0.7653	0.6437	0.0589	0.0713
TCGA-E1-A7Z4-01A	CS2	0.7309	0.6825	0.4715	0.5074
TCGA-E1-A7YY-01A	CS1	0.3531	0.9356	0.001	0.0014
TCGA-DU-7009-01A	CS1	0.2512	0.9679	0.001	0.0014
TCGA-DU-7008-01A	CS1	0.4035	0.915	0.001	0.0014
TCGA-S9-A7R1-01A	CS1	0.375	0.927	0.001	0.0014
TCGA-HT-7483-01A	CS1	0.6452	0.764	0.0769	0.0918
TCGA-DU-5870-02A	CS1	0.4486	0.8937	0.001	0.0014
TCGA-DU-5870-01A	CS1	0.5234	0.8521	0.001	0.0014
TCGA-DU-6392-01A	CS2	0.8158	0.5783	0.001	0.0014
