	prediction	d.CS1	d.CS2	p.value	FDR
TCGA-S9-A7IS-01A	CS2	0.8315	0.5556	0.001	0.0014
TCGA-P5-A5F2-01A	CS1	0.5022	0.8648	0.001	0.0014
TCGA-DU-6410-01A	CS1	0.3946	0.9189	0.001	0.0014
TCGA-DU-7292-01A	CS1	0.6306	0.7761	0.009	0.0119
TCGA-P5-A5EX-01A	CS2	0.954	0.2997	0.001	0.0014
TCGA-VW-A8FI-01A	CS2	0.9292	0.3695	0.001	0.0014
TCGA-S9-A7J1-01A	CS1	0.4341	0.9009	0.001	0.0014
TCGA-DU-5854-01A	CS2	0.9569	0.2905	0.001	0.0014
TCGA-DU-7013-01A	CS2	0.9161	0.4009	0.001	0.0014
TCGA-P5-A731-01A	CS2	0.8251	0.5649	0.001	0.0014
TCGA-QH-A6CZ-01A	CS1	0.2231	0.9748	0.001	0.0014
TCGA-HT-8012-01A	CS1	0.3255	0.9455	0.001	0.0014
TCGA-P5-A5F0-01A	CS1	0.1917	0.9814	0.001	0.0014
TCGA-P5-A735-01A	CS1	0.4562	0.8899	0.001	0.0014
TCGA-RY-A83Z-01A	CS2	0.7934	0.6087	0.006	0.008
TCGA-QH-A6X3-01A	CS1	0.6908	0.723	0.6144	0.6478
TCGA-DU-7290-01A	CS2	0.9693	0.2458	0.001	0.0014
TCGA-S9-A7R2-01A	CS2	0.9264	0.3766	0.001	0.0014
TCGA-P5-A72W-01A	CS2	0.7575	0.6529	0.0619	0.0746
TCGA-HT-A74J-01A	CS1	0.4902	0.8716	0.001	0.0014
TCGA-FG-A4MU-01B	CS2	0.9756	0.2193	0.001	0.0014
TCGA-FG-A70Z-01A	CS2	0.8906	0.4548	0.001	0.0014
TCGA-P5-A730-01A	CS2	0.8245	0.5659	0.002	0.0027
TCGA-HT-A74L-01A	CS1	0.5266	0.8501	0.001	0.0014
TCGA-QH-A86X-01A	CS1	0.3022	0.9532	0.001	0.0014
TCGA-DB-A75L-01A	CS1	0.5198	0.8543	0.001	0.0014
TCGA-HT-7884-01B	CS1	0.4841	0.875	0.001	0.0014
TCGA-DU-A76K-01A	CS1	0.6278	0.7784	0.03	0.0378
TCGA-DU-7006-01A	CS2	0.964	0.2657	0.001	0.0014
TCGA-HT-7469-01A	CS2	0.8864	0.4628	0.001	0.0014
TCGA-P5-A72Z-01A	CS1	0.5652	0.8249	0.001	0.0014
TCGA-DU-6403-01A	CS2	0.767	0.6417	0.0829	0.0979
TCGA-DB-A75K-01A	CS2	0.7136	0.7005	0.8561	0.8814
TCGA-HT-8104-01A	CS2	0.9297	0.3684	0.001	0.0014
TCGA-P5-A737-01A	CS1	0.3827	0.9239	0.001	0.0014
TCGA-QH-A6CX-01A	CS2	0.9371	0.3491	0.001	0.0014
TCGA-E1-A7YK-01A	CS2	0.9458	0.3249	0.001	0.0014
TCGA-QH-A65V-01A	CS1	0.5887	0.8083	0.001	0.0014
TCGA-HW-A5KK-01A	CS2	0.9356	0.3532	0.001	0.0014
TCGA-QH-A870-01A	CS2	0.7342	0.6789	0.3546	0.3896
TCGA-E1-A7Z2-01A	CS1	0.662	0.7495	0.2328	0.2617
TCGA-P5-A72X-01A	CS2	0.7813	0.6241	0.021	0.0267
TCGA-WH-A86K-01A	CS2	0.7706	0.6373	0.017	0.0218
TCGA-DU-5853-01A	CS1	0.5806	0.8142	0.001	0.0014
TCGA-QH-A6CY-01A	CS1	0.2517	0.9678	0.001	0.0014
TCGA-VM-A8CA-01A	CS1	0.7055	0.7087	0.976	0.9816
TCGA-QH-A6CW-01A	CS2	0.7868	0.6172	0.025	0.0317
TCGA-P5-A733-01A	CS1	0.677	0.736	0.3007	0.3324
TCGA-FG-8182-01A	CS1	0.5188	0.8549	0.001	0.0014
TCGA-DH-A7UU-01A	CS1	0.6863	0.7273	0.4795	0.5149
TCGA-HT-8558-01A	CS1	0.3343	0.9425	0.001	0.0014
TCGA-HT-8110-01A	CS2	0.9322	0.362	0.001	0.0014
TCGA-QH-A65Z-01A	CS1	0.3495	0.9369	0.001	0.0014
TCGA-S9-A6WQ-01A	CS2	0.7103	0.7039	0.9341	0.9504
TCGA-DU-8168-01A	CS1	0.3142	0.9494	0.001	0.0014
TCGA-FG-8185-01A	CS2	0.7546	0.6562	0.0779	0.0926
TCGA-HT-7620-01A	CS1	0.5259	0.8505	0.001	0.0014
TCGA-E1-A7YD-01A	CS2	0.9152	0.403	0.001	0.0014
TCGA-DB-A64W-01A	CS1	0.2518	0.9678	0.001	0.0014
TCGA-KT-A74X-01A	CS1	0.4743	0.8803	0.001	0.0014
TCGA-KT-A7W1-01A	CS2	0.9422	0.3351	0.001	0.0014
TCGA-QH-A6CV-01A	CS2	0.9446	0.3283	0.001	0.0014
TCGA-HT-7695-01A	CS1	0.2392	0.971	0.001	0.0014
TCGA-QH-A6X4-01A	CS1	0.348	0.9375	0.001	0.0014
TCGA-DU-5849-01A	CS1	0.3082	0.9513	0.001	0.0014
TCGA-DU-8162-01A	CS1	0.4568	0.8896	0.001	0.0014
TCGA-FG-A60J-01A	CS1	0.6372	0.7707	0.047	0.0576
TCGA-QH-A6CU-01A	CS2	0.8187	0.5742	0.001	0.0014
TCGA-TM-A84S-01A	CS1	0.6141	0.7893	0.007	0.0093
TCGA-FG-6689-01A	CS1	0.47	0.8827	0.001	0.0014
TCGA-HT-7689-01A	CS2	0.7241	0.6897	0.6304	0.6633
TCGA-FG-8188-01A	CS2	0.7668	0.6419	0.039	0.0481
TCGA-DU-7010-01A	CS2	0.8523	0.5231	0.001	0.0014
TCGA-FG-A6IZ-01A	CS1	0.55	0.8352	0.001	0.0014
TCGA-S9-A7QW-01A	CS1	0.4058	0.914	0.001	0.0014
TCGA-DU-5874-01A	CS1	0.4693	0.883	0.001	0.0014
TCGA-QH-A65R-01A	CS1	0.5122	0.8589	0.001	0.0014
TCGA-E1-A7YS-01A	CS1	0.453	0.8915	0.001	0.0014
TCGA-FG-7634-01A	CS2	0.832	0.5548	0.001	0.0014
TCGA-HT-A74K-01A	CS2	0.7294	0.6841	0.5025	0.5385
TCGA-DU-8167-01A	CS2	0.8245	0.5659	0.001	0.0014
TCGA-HT-8564-01A	CS1	0.6429	0.7659	0.05	0.0612
TCGA-QH-A65X-01A	CS1	0.705	0.7092	0.952	0.9631
TCGA-TQ-A7RH-01A	CS1	0.6477	0.7619	0.1059	0.123
TCGA-VV-A86M-01A	CS2	0.8103	0.5861	0.001	0.0014
TCGA-FG-8186-01A	CS1	0.6073	0.7945	0.002	0.0027
TCGA-HT-A617-01A	CS2	0.9294	0.3691	0.001	0.0014
TCGA-DB-A75P-01A	CS2	0.7091	0.7051	0.9451	0.9579
TCGA-E1-A7YL-01A	CS2	0.9692	0.2461	0.001	0.0014
TCGA-TM-A84C-01A	CS2	0.9406	0.3394	0.001	0.0014
TCGA-HT-7677-01A	CS1	0.4299	0.9029	0.001	0.0014
TCGA-HT-8011-01A	CS2	0.897	0.442	0.001	0.0014
TCGA-QH-A6X5-01A	CS1	0.4711	0.8821	0.001	0.0014
TCGA-FG-A6J1-01A	CS1	0.5082	0.8612	0.001	0.0014
TCGA-QH-A6XA-01A	CS1	0.4865	0.8737	0.001	0.0014
TCGA-HT-7473-01A	CS2	0.9114	0.4114	0.001	0.0014
TCGA-QH-A6XC-01A	CS2	0.7719	0.6358	0.031	0.0389
TCGA-QH-A6X8-01A	CS1	0.453	0.8915	0.001	0.0014
TCGA-DU-6406-01A	CS2	0.9479	0.3187	0.001	0.0014
TCGA-HT-A618-01A	CS2	0.9042	0.4271	0.001	0.0014
